Date;Prix
2004-09-17;1128.5
2004-09-24;1110.1
2004-01-10;1131.5
2004-08-10;1122.1
2004-10-15;1108.2
2004-10-22;1095.7
2004-10-29;1130.2
2004-05-11;1166.1
2004-12-11;1184.1
2004-11-19;1170.3
2004-11-26;1182.6
2004-03-12;1191.1
2004-10-12;1188.0
2004-12-17;1194.2
2004-12-24;1210.1
2004-12-31;1211.9
2005-07-01;1186.1
2005-01-14;1184.5
2005-01-21;1167.8
2005-01-28;1171.3
2005-04-02;1203.0
2005-11-02;1205.3
2005-02-18;1201.5
2005-02-25;1211.3
2005-04-03;1222.1
2005-11-03;1200.0
2005-03-18;1189.6
2005-03-25;1171.4
2005-01-04;1172.9
2005-08-04;1181.2
2005-04-15;1142.6
2005-04-22;1152.1
2005-04-29;1156.8
2005-06-05;1171.3
2005-05-13;1154.0
2005-05-20;1189.2
2005-05-27;1198.7
2005-03-06;1196.0
2005-10-06;1198.1
2005-06-17;1216.9
2005-06-24;1191.5
2005-01-07;1194.4
2005-08-07;1211.8
2005-07-15;1227.9
2005-07-22;1233.6
2005-07-29;1234.1
2005-05-08;1226.4
2005-12-08;1230.3
2005-08-19;1219.7
2005-08-26;1205.1
2005-02-09;1218.0
2005-09-09;1241.4
2005-09-16;1237.9
2005-09-23;1215.2
2005-09-30;1228.8
2005-07-10;1195.9
2005-10-14;1186.5
2005-10-21;1179.5
2005-10-28;1198.4
2005-04-11;1220.1
2005-11-11;1234.7
2005-11-18;1248.2
2005-11-25;1268.2
2005-02-12;1265.0
2005-09-12;1259.3
2005-12-16;1267.3
2005-12-23;1268.6
2005-12-30;1248.2
2006-06-01;1285.4
2006-01-13;1287.6
2006-01-20;1261.4
2006-01-27;1283.7
2006-03-02;1264.0
2006-10-02;1266.9
2006-02-17;1287.2
2006-02-24;1289.4
2006-03-03;1287.2
2006-10-03;1281.5
2006-03-17;1307.2
2006-03-24;1302.9
2006-03-31;1294.8
2006-07-04;1295.5
2006-04-14;1289.1
2006-04-21;1311.2
2006-04-28;1310.6
2006-05-05;1325.7
2006-12-05;1291.2
2006-05-19;1267.0
2006-05-26;1280.1
2006-02-06;1288.2
2006-09-06;1252.3
2006-06-16;1251.5
2006-06-23;1244.5
2006-06-30;1270.2
2006-07-07;1265.4
2006-07-14;1236.2
2006-07-21;1240.2
2006-07-28;1278.5
2006-04-08;1279.3
2006-11-08;1266.7
2006-08-18;1302.3
2006-08-25;1295.0
2006-01-09;1311.0
2006-08-09;1298.9
2006-09-15;1319.8
2006-09-22;1314.7
2006-09-29;1335.8
2006-06-10;1349.5
2006-10-13;1365.6
2006-10-20;1368.6
2006-10-27;1377.3
2006-03-11;1364.3
2006-10-11;1380.9
2006-11-17;1401.2
2006-11-24;1400.9
2006-01-12;1396.7
2006-08-12;1409.8
2006-12-15;1427.0
2006-12-22;1410.7
2006-12-29;1418.3
2007-05-01;1409.7
2007-12-01;1430.7
2007-01-19;1430.5
2007-01-26;1422.1
2007-02-02;1448.3
2007-09-02;1438.0
2007-02-16;1455.5
2007-02-23;1451.1
2007-02-03;1387.1
2007-09-03;1402.8
2007-03-16;1386.9
2007-03-23;1436.1
2007-03-30;1420.8
2007-06-04;1443.7
2007-04-13;1452.8
2007-04-20;1484.3
2007-04-27;1494.0
2007-04-05;1505.6
2007-11-05;1505.8
2007-05-18;1522.7
2007-05-25;1515.7
2007-01-06;1536.3
2007-08-06;1507.6
2007-06-15;1532.9
2007-06-22;1502.5
2007-06-29;1503.3
2007-06-07;1530.4
2007-07-13;1552.5
2007-07-20;1534.1
2007-07-27;1458.9
2007-03-08;1433.0
2007-10-08;1453.6
2007-08-17;1445.9
2007-08-24;1479.3
2007-08-31;1473.9
2007-07-09;1453.5
2007-09-14;1484.2
2007-09-21;1525.7
2007-09-28;1526.7
2007-05-10;1557.5
